"kind","name","file","line","refs"
"def","encap_header",".\fanuc_eip_probe.py","23",
"def","build_list_services",".\fanuc_eip_probe.py","36",
"def","build_register_session",".\fanuc_eip_probe.py","42",
"def","parse_register_session",".\fanuc_eip_probe.py","49",
"def","build_send_rr_data",".\fanuc_eip_probe.py","60",
"def","build_forward_open_cip",".\fanuc_eip_probe.py","74",
"def","parse_forward_open_response",".\fanuc_eip_probe.py","114",
"def","udp_listen",".\fanuc_eip_probe.py","184",
"def","build_udp_o2t",".\fanuc_eip_probe.py","196",
"def","udp_send_loop",".\fanuc_eip_probe.py","210",
"def","main",".\fanuc_eip_probe.py","223",
"class","AppState",".\robot_ui\app_state.py","9",
"def","role",".\robot_ui\app_state.py","16",
"def","set_user",".\robot_ui\app_state.py","21",
"def","can_access_page",".\robot_ui\app_state.py","28",
"class","MockRobotBackend",".\robot_ui\backend\robot_backend_base.py","5",
"def","__init__",".\robot_ui\backend\robot_backend_base.py","10",
"def","tick",".\robot_ui\backend\robot_backend_base.py","21",
"def","get_robot_io",".\robot_ui\backend\robot_backend_base.py","40",
"class","MockRobotBackend",".\robot_ui\backend\robot_backend_mock.py","5",
"def","__init__",".\robot_ui\backend\robot_backend_mock.py","10",
"def","tick",".\robot_ui\backend\robot_backend_mock.py","21",
"def","get_robot_io",".\robot_ui\backend\robot_backend_mock.py","40",
"class","MockRobotBackend",".\robot_ui\backend\robot_backend_real.py","5",
"def","__init__",".\robot_ui\backend\robot_backend_real.py","10",
"def","tick",".\robot_ui\backend\robot_backend_real.py","21",
"def","get_robot_io",".\robot_ui\backend\robot_backend_real.py","40",
"def","tk_frame_kwargs",".\robot_ui\config.py","125",
"def","tk_panel_kwargs",".\robot_ui\config.py","130",
"def","_url_open",".\robot_ui\location_service.py","27",
"class","LocationService",".\robot_ui\location_service.py","78",
"def","__init__",".\robot_ui\location_service.py","83",
"def","coords",".\robot_ui\location_service.py","102",
"def","temperature",".\robot_ui\location_service.py","106",
"def","lat",".\robot_ui\location_service.py","110",
"def","lon",".\robot_ui\location_service.py","114",
"def","tempF",".\robot_ui\location_service.py","118",
"def","tempC",".\robot_ui\location_service.py","122",
"def","ready",".\robot_ui\location_service.py","126",
