"name","file","line","occurrences"
"alarmLevel",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","96","2"
"alarmLevel",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","204","2"
"clampToQuadrant",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","305","2"
"clampToQuadrant",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","344","2"
"getBit",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","261","2"
"getBit",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","323","2"
"loadAlarmCatalog",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","55","3"
"loadAlarmCatalog",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","184","3"
"loadAlarmCatalog",".\ui_qml\RobotUI\screens\WeldingScreen.qml","1363","3"
"norm360",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","135","2"
"norm360",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","121","2"
"onInWordsChanged",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","237","3"
"onInWordsChanged",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","1181","3"
"onInWordsChanged",".\ui_qml\RobotUI\screens\WeldingScreen.qml","1296","3"
"onIoUpdated",".\ui_qml\RobotUI\components\RobotSimPanel.qml","158","4"
"onIoUpdated",".\ui_qml\RobotUI\components\SideBar.qml","294","4"
"onIoUpdated",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","245","4"
"onIoUpdated",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","144","4"
"onStateChanged",".\ui_qml\RobotUI\components\RobotSimPanel.qml","159","3"
"onStateChanged",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","237","3"
"onStateChanged",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","145","3"
"openCStop",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","355","2"
"openCStop",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","418","2"
"quadrantMax",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","299","2"
"quadrantMax",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","339","2"
"quadrantMin",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","295","2"
"quadrantMin",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","335","2"
"readCurrentPos",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","327","2"
"readCurrentPos",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","362","2"
"rebuildAlarms",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","106","2"
"rebuildAlarms",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","210","2"
"refresh",".\ui_qml\RobotUI\components\RobotSimPanel.qml","111","2"
"refresh",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","128","2"
"setOutputBit",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","342","3"
"setOutputBit",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","377","3"
"setOutputBit",".\ui_qml\RobotUI\screens\WeldingScreen.qml","64","3"
"stateColor",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","158","2"
"stateColor",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","141","2"
"stateLabel",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","142","2"
"stateLabel",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","127","2"
"writeDesiredPos",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","333","2"
"writeDesiredPos",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","368","2"
