"kind","name","file","line","refs"
"qml_function","stateName",".\ui_qml\RobotUI\components\RobotSimPanel.qml","50",
"qml_function","bitOf",".\ui_qml\RobotUI\components\RobotSimPanel.qml","58",
"qml_function","bitLabel",".\ui_qml\RobotUI\components\RobotSimPanel.qml","67",
"qml_function","refreshHighBits",".\ui_qml\RobotUI\components\RobotSimPanel.qml","77",
"qml_function","inPos",".\ui_qml\RobotUI\components\RobotSimPanel.qml","106",
"qml_function","outPos",".\ui_qml\RobotUI\components\RobotSimPanel.qml","107",
"qml_function","hasComm",".\ui_qml\RobotUI\components\RobotSimPanel.qml","109",
"qml_function","refresh",".\ui_qml\RobotUI\components\RobotSimPanel.qml","111",
"qml_function","toggleInput",".\ui_qml\RobotUI\components\RobotSimPanel.qml","120",
"qml_function","open",".\ui_qml\RobotUI\components\RobotSimPanel.qml","126",
"qml_function","pulseInput",".\ui_qml\RobotUI\components\RobotSimPanel.qml","147",
"qml_function","onIoUpdated",".\ui_qml\RobotUI\components\RobotSimPanel.qml","158",
"qml_function","onStateChanged",".\ui_qml\RobotUI\components\RobotSimPanel.qml","159",
"qml_function","_robotState",".\ui_qml\RobotUI\components\SideBar.qml","74",
"qml_function","_stateColor",".\ui_qml\RobotUI\components\SideBar.qml","83",
"qml_function","_bit",".\ui_qml\RobotUI\components\SideBar.qml","94",
"qml_function","_getInputs",".\ui_qml\RobotUI\components\SideBar.qml","102",
"qml_function","_getOutputs",".\ui_qml\RobotUI\components\SideBar.qml","107",
"qml_function","_readInWord",".\ui_qml\RobotUI\components\SideBar.qml","112",
"qml_function","_readOutWord",".\ui_qml\RobotUI\components\SideBar.qml","118",
"qml_function","_writeOutputsWord",".\ui_qml\RobotUI\components\SideBar.qml","124",
"qml_function","_writeCmdWordAll",".\ui_qml\RobotUI\components\SideBar.qml","129",
"qml_function","_setBit",".\ui_qml\RobotUI\components\SideBar.qml","142",
"qml_function","_setCmdBitAll",".\ui_qml\RobotUI\components\SideBar.qml","148",
"qml_function","_pulseCmdBit",".\ui_qml\RobotUI\components\SideBar.qml","155",
"qml_function","_anyRobotBitOn",".\ui_qml\RobotUI\components\SideBar.qml","181",
"qml_function","_robotBitOn",".\ui_qml\RobotUI\components\SideBar.qml","189",
"qml_function","anyFault",".\ui_qml\RobotUI\components\SideBar.qml","194",
"qml_function","anyTPEN",".\ui_qml\RobotUI\components\SideBar.qml","195",
"qml_function","autoEnabled",".\ui_qml\RobotUI\components\SideBar.qml","196",
"qml_function","onIoUpdated",".\ui_qml\RobotUI\components\SideBar.qml","294",
"qml_function","pressAuto",".\ui_qml\RobotUI\components\SideBar.qml","312",
"qml_function","pressManual",".\ui_qml\RobotUI\components\SideBar.qml","328",
"qml_function","pressStart",".\ui_qml\RobotUI\components\SideBar.qml","344",
"qml_function","pressHold",".\ui_qml\RobotUI\components\SideBar.qml","358",
"qml_function","pressStop",".\ui_qml\RobotUI\components\SideBar.qml","367",
"qml_function","pressReset",".\ui_qml\RobotUI\components\SideBar.qml","375",
"qml_function","pressImstp",".\ui_qml\RobotUI\components\SideBar.qml","390",
"qml_function","stopButtonColor",".\ui_qml\RobotUI\components\SideBar.qml","412",
"qml_function","tick",".\ui_qml\RobotUI\Main.qml","58",
"qml_function","loadAlarmCatalog",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","55",
"qml_function","alarmLevel",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","96",
"qml_function","rebuildAlarms",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","106",
"qml_function","norm360",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","135",
"qml_function","stateLabel",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","142",
"qml_function","stateColor",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","158",
"qml_function","readSpeedPctFromWords",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","192",
"qml_function","readPosDegFromWords",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","208",
"qml_function","onInWordsChanged",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","237",
"qml_function","getBit",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","261",
"qml_function","quadrantMin",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","295",
"qml_function","quadrantMax",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","299",
"qml_function","clampToQuadrant",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","305",
"qml_function","readCurrentPos",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","327",
"qml_function","writeDesiredPos",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","333",
"qml_function","setOutputBit",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","342",
"qml_function","openCStop",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","355",
"qml_function","onInWordsChanged",".\ui_qml\RobotUI\screens\CellStatusScreen.qml","1181",
"qml_function","refreshRobotData",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","43",
"qml_function","wordsFor",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","56",
"qml_function","connStateFor",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","64",
"qml_function","robotPos",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","73",
"qml_function","readPassNumberValue",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","81",
"qml_function","robotPassNum",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","86",
"qml_function","robotStatus",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","100",
"qml_function","norm360",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","121",
"qml_function","stateLabel",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","127",
"qml_function","stateColor",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","141",
"qml_function","loadAlarmCatalog",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","184",
"qml_function","alarmLevel",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","204",
