"Name","Count"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\Keyboard.qml","70"
".venv\Lib\site-packages\PySide6\qml\QtTest\TestCase.qml","65"
".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","28"
".\ui_qml\RobotUI\components\SideBar.qml","26"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\Helpers\WasdController.qml","22"
".\ui_qml\RobotUI\screens\WeldingScreen.qml","19"
".\ui_qml\RobotUI\screens\CellStatusScreen.qml","18"
".\ui_qml\RobotUI\components\RobotSimPanel.qml","13"
".venv\Lib\site-packages\PySide6\qml\QtQuick\Pdf\PdfMultiPageView.qml","13"
".venv\Lib\site-packages\PySide6\qml\QtQuick\Pdf\PdfPageView.qml","12"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\MaterialEditor\main.qml","11"
".venv\Lib\site-packages\PySide6\qml\QtQuick\Pdf\PdfScrollablePageView.qml","11"
".\ui_qml\RobotUI\screens\RobotCommScreen.qml","11"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\MultitapInputMethod.qml","10"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\MaterialEditor\SaveChangesDialog.qml","10"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\Helpers\OrbitCameraController.qml","9"
".venv\Lib\site-packages\PySide6\qml\QtTest\SignalSpy.qml","8"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\lightmapviewer\MeshViewer.qml","8"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Styles\TraceCanvas.qml","6"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\lightmapviewer\OriginGizmo.qml","6"
".venv\Lib\site-packages\PySide6\qml\QtMultimedia\Video.qml","5"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\ShadowInputControl.qml","4"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\MaterialEditor\UniformManagerPane.qml","4"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\lightmapviewer\ArcballController.qml","4"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\Helpers\DebugView.qml","4"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\FlickKey.qml","4"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\Helpers\impl\SceneEffect.qml","4"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\AlternativeKeys.qml","3"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\private\FastGlow.qml","3"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\private\FastInnerShadow.qml","3"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\private\GaussianDirectionalBlur.qml","3"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\LightmapperOutputWindow.qml","3"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\TraceInputArea.qml","3"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\Helpers\designer\ExtendedSceneEnvironmentSection.qml","3"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\FastBlur.qml","3"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\FunctionPopupList.qml","3"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\KeyboardLayout.qml","3"
